Year,Month,Day,Hour,Tamb [deg C],Azimuth [degree],Cloudopacity [%],DewPoint [deg C],Pw [cm],Pressure [mbar],WindDir [degree],WindVel [m/s],Zenith [degree],RelativeHumidity,GHI [W/m2]
2018,1,1,7,24.6,-113,51.1,22.8,5.8,1009.9,65,2.1,90,89.7,8
2018,1,1,8,24.9,-115,47.8,23,5.81,1010.3,65,2.2,76,88.9,86
2018,1,1,9,25.2,-119,68.2,23,5.86,1010.9,66,2.6,63,87.7,128
2018,1,1,10,25.5,-126,72.8,23.1,5.91,1011.4,67,2.9,51,86.6,167
2018,1,1,11,25.6,-138,68.3,23.2,5.97,1011.4,69,3.1,39,86.5,243
2018,1,1,12,25.6,-157,59.4,23.4,6.05,1010.9,72,3,31,87.5,349
2018,1,1,13,25.6,176,48.8,23.6,6.13,1010.3,76,2.9,29,88.5,451
2018,1,1,14,25.5,150,73.6,23.6,6.18,1009.7,77,2.9,33,89.4,219
2018,1,1,15,25.2,134,73.8,23.4,6.2,1009.1,77,3,43,90.2,189
2018,1,1,16,24.9,124,90,23.3,6.22,1008.4,77,3,54,91,55
2018,1,1,17,24.9,118,88.1,23.3,6.24,1008.3,73,3,67,91,35
2018,1,1,18,25.3,115,83.9,23.6,6.28,1008.6,64,3,81,90.3,12
2018,1,2,8,25.1,-115,63,22.9,6.36,1009,61,2.5,76,87.3,68
2018,1,2,9,25.2,-119,59.6,23,6.35,1009.6,64,2.9,63,87.2,166
2018,1,2,10,25.4,-126,61.2,23.1,6.34,1010.2,66,3.4,51,87.1,236
2018,1,2,11,25.5,-138,64.2,23.1,6.34,1010.3,68,3.5,39,86.7,274
2018,1,2,12,25.7,-157,57.6,23.2,6.34,1009.9,70,3.3,31,86,367
2018,1,2,13,25.9,176,32.7,23.3,6.35,1009.5,72,3.1,29,85.3,596
2018,1,2,14,25.9,150,20,23.3,6.36,1008.9,75,3,33,85.3,668
2018,1,2,15,25.8,134,41.9,23.2,6.38,1008.3,77,2.8,42,85.8,420
2018,1,2,16,25.7,124,62,23.2,6.4,1007.7,80,2.6,54,86.3,207
2018,1,2,17,25.7,118,69.1,23.3,6.42,1007.6,77,2.4,67,86.6,96
2018,1,2,18,25.9,115,84.5,23.5,6.43,1008.1,67,2,80,86.6,13
2018,1,3,7,24.3,-113,67.5,23,6.29,1009.2,48,2.6,90,92.6,6
2018,1,3,8,24.7,-115,50.4,23.2,6.3,1009.5,49,2.8,77,91.5,90
2018,1,3,9,25.1,-119,47.7,23.2,6.31,1010.1,55,2.7,63,89.5,216
2018,1,3,10,25.5,-126,23.9,23.3,6.32,1010.7,60,2.7,51,87.6,464
2018,1,3,11,25.9,-138,20.7,23.4,6.33,1010.7,66,2.5,39,86.3,610
2018,1,3,12,26.2,-157,30.7,23.6,6.34,1010.3,72,2.4,31,85.6,593
2018,1,3,13,26.5,176,46.3,23.7,6.35,1009.8,80,2.2,29,85,474
2018,1,3,14,26.4,150,56.8,23.9,6.36,1009.2,87,2.1,33,86,361
2018,1,3,15,26.1,134,81,24.1,6.38,1008.6,93,2,42,88.8,140
2018,1,3,16,25.8,124,96.9,24.3,6.39,1007.9,99,1.9,54,91.6,16
2018,1,3,17,25.6,118,90.4,24.3,6.41,1007.9,94,1.8,67,92.7,28
2018,1,3,18,25.5,114,88.4,24.1,6.44,1008.5,77,1.7,80,92,9
2018,1,4,7,24.2,-113,57.3,23.1,6.27,1009.4,63,1.9,90,93.7,7
2018,1,4,8,24.7,-115,64.5,23.3,6.27,1009.9,63,2.1,77,92.3,57
2018,1,4,9,25.3,-119,40,23.3,6.23,1010.4,68,2.2,63,89.1,243
2018,1,4,10,25.8,-126,44,23.3,6.18,1010.9,72,2.4,51,86.1,328
2018,1,4,11,26.1,-137,24.9,23.4,6.16,1010.9,75,2.4,39,84.9,573
2018,1,4,12,26.2,-157,27.7,23.6,6.17,1010.5,78,2.2,31,85.6,619
2018,1,4,13,26.2,176,31.8,23.7,6.17,1010,82,1.9,29,86.3,605
2018,1,4,14,26.1,151,25.5,23.8,6.19,1009.4,87,1.8,33,87.4,626
2018,1,4,15,25.8,134,26.3,23.9,6.22,1008.8,91,1.7,42,88.9,534
2018,1,4,16,25.6,124,35.2,23.9,6.25,1008.1,95,1.6,54,90.4,359
2018,1,4,17,25.7,118,60.3,23.9,6.26,1007.9,94,1.4,67,90.2,146
2018,1,4,18,26.1,114,85.1,24,6.26,1008.1,83,0.9,80,88.2,18
2018,1,5,8,23.5,-115,88.3,22.5,6.43,1010.7,138,2.2,77,94.3,18
2018,1,5,9,23.6,-119,93.6,22.7,6.45,1011.5,139,2.3,63,94.9,23
2018,1,5,10,23.7,-126,94.1,22.9,6.47,1012.2,140,2.4,51,95.4,34
2018,1,5,11,24,-137,83.8,23.1,6.44,1012.3,143,2.4,39,94.3,118
2018,1,5,12,24.7,-156,78.4,23.2,6.38,1011.6,149,2.4,31,91.7,177
2018,1,5,13,25.3,176,66.4,23.4,6.32,1010.9,154,2.5,29,89.1,285
2018,1,5,14,25.6,151,61.8,23.4,6.27,1010.2,157,2.3,33,87.8,308
2018,1,5,15,25.6,134,67.1,23.4,6.24,1009.3,157,1.9,42,87.5,231
2018,1,5,16,25.6,124,77.9,23.3,6.21,1008.5,158,1.5,54,87.2,118
2018,1,5,17,25.9,118,73.5,23.4,6.16,1008.3,142,1.3,67,85.7,84
2018,1,5,18,26.6,114,73.3,23.5,6.11,1008.6,113,1.5,80,83.3,28
2018,1,6,7,23.8,-113,11.7,22.7,5.89,1009.4,76,1.6,90,93.7,9
2018,1,6,8,24.3,-115,8.8,23,5.86,1009.8,73,1.5,77,92.1,151
2018,1,6,9,25,-119,0,22.9,5.83,1010.2,78,1.4,63,88.1,377
2018,1,6,10,25.7,-125,0,22.9,5.8,1010.6,83,1.3,51,84.4,583
2018,1,6,11,26.1,-137,0,23,5.81,1010.7,83,1.1,39,82.9,736
2018,1,6,12,26.3,-156,4.1,23.3,5.85,1010.3,78,1,31,83.5,798
2018,1,6,13,26.5,177,11.1,23.6,5.88,1009.9,71,0.8,28,84.1,763
2018,1,6,14,26.5,151,16.4,23.8,5.92,1009.5,71,0.8,33,85.4,667
2018,1,6,15,26.1,134,20.2,23.9,5.95,1008.9,79,0.8,42,87.5,546
2018,1,6,16,25.8,124,57,24,5.98,1008.4,86,0.8,54,89.6,224
