time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m
2013-01-02 0000,0,0,0,0,0,22.09,0.14
2013-01-02 0100,0,0,0,0,0,22.04,0.28
2013-01-02 0200,0,0,0,0,0,22.09,0.41
2013-01-02 0300,0,0,0,0,0,22.12,0.21
2013-01-02 0400,0,0,0,0,0,21.99,0.21
2013-01-02 0500,0,0,0,0,0,22.12,0.14
2013-01-02 0600,0,0,0,0,0,21.93,0.14
2013-01-02 0700,10.4,0,24.98,0,4.81,22.08,0.14
2013-01-02 0800,29.44,0,51.96,0,18.41,22.73,0.28
2013-01-02 0900,54.97,0,84.97,0.01,31.6,22.56,0.48
2013-01-02 1000,239.34,16.32,298.99,0.03,43.97,23.34,0.34
2013-01-02 1100,170.66,0,229.91,0.02,54.62,24.11,0.41
2013-01-02 1200,175,0,234.91,0.02,61.47,24.11,0.76
2013-01-02 1300,209.55,0,280.89,0.02,61.62,25.73,0.48
2013-01-02 1400,202.66,1.02,270.9,0.02,54.99,25.9,0.69
2013-01-02 1500,38.03,0,63.97,0.01,44.46,25.39,0.62
2013-01-02 1600,200.8,27.01,240.24,0.02,32.13,24.47,0.76
2013-01-02 1700,95.22,9.57,127.11,0.01,18.96,24.32,0.69
2013-01-02 1800,4.27,0,14.99,0,5.38,23.44,0.41
2013-01-02 1900,0,0,0,0,0,22.89,0.34
2013-01-02 2000,0,0,0,0,0,22.72,0.41
2013-01-02 2100,0,0,0,0,0,22.51,0.41
2013-01-02 2200,0,0,0,0,0,22.25,0.34
2013-01-02 2300,0,0,0,0,0,22.21,0.28
2013-01-03 0000,0,0,0,0,0,22.22,0.41
2013-01-03 0100,0,0,0,0,0,21.98,0.62
2013-01-03 0200,0,0,0,0,0,21.81,0.69
2013-01-03 0300,0,0,0,0,0,21.55,0.83
2013-01-03 0400,0,0,0,0,0,21.42,0.83
2013-01-03 0500,0,0,0,0,0,21.06,0.76
2013-01-03 0600,0,0,0,0,0,20.91,0.55
2013-01-03 0700,9.14,0,22.98,0,4.72,21.53,0.62
2013-01-03 0800,99.58,0,140.9,0.01,18.33,23.2,0.41
2013-01-03 0900,61.23,0,92.96,0.01,31.54,22.91,0.62
2013-01-03 1000,84.3,0,121.95,0.01,43.94,23.32,0.62
2013-01-03 1100,98.31,0,139.94,0.01,54.62,24.44,0.76
2013-01-03 1200,120.63,0,166.93,0.01,61.53,23.66,0.97
2013-01-03 1300,122.61,0,169.93,0.01,61.74,24.34,0.9
2013-01-03 1400,280.11,14.33,350.96,0.03,55.13,22.96,0.97
2013-01-03 1500,359.9,111.08,354,0.04,44.59,22.53,1.03
2013-01-03 1600,113.1,0,156.94,0.01,32.26,22.53,0.83
2013-01-03 1700,31.77,0,54.98,0,19.08,22.44,0.76
2013-01-03 1800,2.7,0,11.99,0,5.49,22.11,0.76
2013-01-03 1900,0,0,0,0,0,21.97,0.69
2013-01-03 2000,0,0,0,0,0,21.98,0.69
2013-01-03 2100,0,0,0,0,0,21.93,0.76
2013-01-03 2200,0,0,0,0,0,21.91,0.69
2013-01-03 2300,0,0,0,0,0,21.84,0.69
2013-01-04 0000,0,0,0,0,0,21.77,0.62
2013-01-04 0100,0,0,0,0,0,21.75,0.41
2013-01-04 0200,0,0,0,0,0,21.46,0.69
2013-01-04 0300,0,0,0,0,0,21.32,0.69
2013-01-04 0400,0,0,0,0,0,21.19,0.76
2013-01-04 0500,0,0,0,0,0,21.08,0.69
2013-01-04 0600,0,0,0,0,0,20.82,0.69
2013-01-04 0700,35,0,58.96,0,4.64,21.24,0.62
2013-01-04 0800,9.73,0,23.98,0,18.25,22.59,1.03
2013-01-04 0900,66.53,0,99.96,0.01,31.48,24.08,1.45
2013-01-04 1000,321.18,73.45,346.4,0.03,43.9,25.12,1.31
2013-01-04 1100,576.08,475.78,294.24,0.06,54.62,26.12,1.1
2013-01-04 1200,647.58,612.43,266.46,0.07,61.6,26.57,1.1
2013-01-04 1300,683.01,763.28,176.16,0.07,61.86,27.46,0.97
2013-01-04 1400,657.18,814.51,93.48,0.07,55.27,27.26,0.41
2013-01-04 1500,414.95,222.12,332.99,0.04,44.73,27.29,0.28
2013-01-04 1600,335.12,221.14,223.36,0.03,32.39,26.61,0.41
2013-01-04 1700,112.38,20.19,139.31,0.01,19.2,25.27,0.34
2013-01-04 1800,3.17,0,12.99,0,5.6,24.41,0.55
2013-01-04 1900,0,0,0,0,0,23.91,0.76
2013-01-04 2000,0,0,0,0,0,23.59,0.62
2013-01-04 2100,0,0,0,0,0,23.46,0.28
2013-01-04 2200,0,0,0,0,0,23.19,0
2013-01-04 2300,0,0,0,0,0,22.85,0.28
2013-01-05 0000,0,0,0,0,0,22.38,0.48
2013-01-05 0100,0,0,0,0,0,22.07,0.55
2013-01-05 0200,0,0,0,0,0,21.78,0.55
